Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Feedback comments
122,7,5,5,3,9,6,9,2,Course structure could be better.
332,9,2,7,2,8,7,4,10,Sometimes explanations are confusing.
303,7,4,5,4,7,2,1,6,"Great course, learned a lot!"
336,8,10,4,5,6,7,2,3,Course structure could be better.
588,6,6,4,10,10,10,3,9,Course structure could be better.
609,10,9,4,4,1,5,9,10,Not very helpful.
920,10,6,7,10,10,2,4,2,Assignments are too hard.
370,9,4,7,10,1,10,2,7,Not very helpful.
405,10,2,5,5,5,1,4,6,"Great course, learned a lot!"
779,10,8,6,3,8,8,7,8,"Great course, learned a lot!"
962,10,6,4,5,1,7,1,10,Loved the presentations.
268,10,6,5,9,9,1,8,6,Not very helpful.
625,10,7,6,7,9,6,3,3,Very supportive teacher.
217,8,9,8,3,8,5,5,5,Assignments are too hard.
479,10,10,4,6,5,9,2,3,"Great course, learned a lot!"
500,9,5,8,4,2,2,5,1,Loved the presentations.
409,8,9,7,3,10,4,6,1,Not very helpful.
546,7,7,5,1,9,8,1,1,Assignments are too hard.
967,5,5,8,8,1,9,8,5,Not very helpful.
343,8,4,7,1,10,8,2,6,Course structure could be better.
639,7,4,7,7,6,10,5,7,Loved the presentations.
402,6,8,6,9,4,8,5,7,Assignments are too hard.
617,5,7,5,4,7,1,10,6,Best subject ever!
349,6,8,8,2,9,9,2,8,Sometimes explanations are confusing.
994,8,5,5,2,5,5,9,5,Sometimes explanations are confusing.
279,5,10,7,1,4,4,9,4,Assignments are too hard.
926,10,7,5,1,1,6,6,1,Not very helpful.
816,10,8,5,9,2,7,9,3,Loved the presentations.
765,8,7,8,5,7,7,7,7,Sometimes explanations are confusing.
160,10,6,5,4,2,10,4,7,Loved the presentations.
606,8,3,8,1,6,4,8,9,Sometimes explanations are confusing.
602,5,3,6,2,8,10,3,1,Course structure could be better.
893,10,6,8,1,1,10,1,3,Not very helpful.
810,9,6,7,3,5,9,10,5,Course structure could be better.
802,8,2,6,6,3,8,7,7,Sometimes explanations are confusing.
162,6,2,5,2,10,2,8,8,Best subject ever!
449,5,7,8,9,3,2,7,10,Best subject ever!
463,7,8,7,8,1,4,4,1,Course structure could be better.
41,5,3,5,9,3,1,8,8,Best subject ever!
838,6,3,6,8,7,1,8,8,Sometimes explanations are confusing.
703,10,7,8,3,4,7,9,8,Assignments are too hard.
490,9,2,6,10,9,8,2,4,Course structure could be better.
906,7,7,8,4,5,2,4,5,The teacher explains well.
174,7,3,6,7,10,10,2,3,Not very helpful.
4,5,8,5,7,10,7,3,1,Best subject ever!
161,6,7,8,3,5,10,6,4,Best subject ever!
31,5,4,5,9,9,2,4,1,"Great course, learned a lot!"
623,6,4,6,6,10,10,3,9,Very supportive teacher.
818,10,5,4,9,2,6,2,6,Course structure could be better.
60,5,6,5,3,1,7,5,3,I would recommend this course.
384,6,2,7,9,4,4,2,8,Best subject ever!
971,7,6,7,4,6,6,7,9,Not very helpful.
427,7,3,7,2,9,8,8,7,The teacher explains well.
431,10,9,4,3,3,9,4,1,Best subject ever!
408,6,5,4,7,1,8,6,7,The teacher explains well.
577,10,7,4,10,7,2,5,1,Sometimes explanations are confusing.
803,6,10,8,5,6,5,6,7,Sometimes explanations are confusing.
273,9,3,7,1,5,3,8,4,Very supportive teacher.
371,6,3,4,9,4,10,4,10,Assignments are too hard.
999,6,7,8,8,9,9,9,5,I would recommend this course.
595,10,5,5,4,10,4,4,4,"Great course, learned a lot!"
63,8,8,7,4,4,4,8,2,Very supportive teacher.
899,5,4,7,7,2,6,1,1,Loved the presentations.
0,7,4,8,2,1,4,8,3,"Great course, learned a lot!"
796,7,9,6,2,7,7,6,8,Course structure could be better.
181,10,10,4,2,1,5,3,1,Not very helpful.
290,6,7,6,4,2,8,9,7,Loved the presentations.
373,6,4,8,10,5,3,10,10,Loved the presentations.
285,6,10,5,7,3,3,5,1,Very supportive teacher.
882,6,3,4,1,7,5,4,2,Assignments are too hard.
776,8,3,7,6,3,7,6,7,Very supportive teacher.
935,10,9,7,2,8,2,1,2,Course structure could be better.
679,10,6,4,5,10,9,6,7,Best subject ever!
102,7,4,6,3,5,7,5,5,Best subject ever!
618,5,8,6,9,3,8,7,9,Assignments are too hard.
607,8,4,4,10,10,8,3,7,Course structure could be better.
743,9,7,7,10,1,5,5,10,Assignments are too hard.
682,8,5,8,9,2,10,3,4,The teacher explains well.
16,5,3,6,6,5,8,8,2,Best subject ever!
969,8,6,8,10,2,1,3,2,Loved the presentations.
46,8,4,4,9,5,7,4,8,I would recommend this course.
706,6,8,7,9,8,6,4,1,Not very helpful.
993,9,9,4,1,5,2,9,9,Course structure could be better.
508,10,6,5,8,8,5,7,10,"Great course, learned a lot!"
989,8,4,5,4,8,6,7,3,Assignments are too hard.
133,10,4,7,3,5,4,4,5,Not very helpful.
15,8,9,8,3,6,10,2,3,"Great course, learned a lot!"
78,10,9,6,8,10,7,7,8,Not very helpful.
433,6,6,8,4,8,9,4,1,I would recommend this course.
784,7,7,4,3,7,8,6,10,"Great course, learned a lot!"
983,5,2,4,1,9,4,3,2,Very supportive teacher.
197,9,3,5,9,8,2,4,10,Sometimes explanations are confusing.
483,8,2,6,2,10,2,2,5,Very supportive teacher.
376,5,5,5,8,8,4,6,10,Best subject ever!
915,10,7,4,6,9,4,9,5,Sometimes explanations are confusing.
210,6,5,7,9,5,1,2,4,Very supportive teacher.
20,8,4,5,1,10,10,7,5,Sometimes explanations are confusing.
425,5,9,8,1,10,8,10,10,Sometimes explanations are confusing.
668,6,3,6,1,2,10,9,3,Loved the presentations.
54,7,2,5,1,5,3,1,3,Assignments are too hard.
950,7,2,7,10,5,3,4,7,Assignments are too hard.
782,6,7,4,2,2,1,3,8,Loved the presentations.
108,5,5,7,5,10,7,3,9,Not very helpful.
400,9,4,5,5,8,10,6,10,The teacher explains well.
685,10,9,7,3,1,6,6,4,Not very helpful.
673,9,3,4,4,7,9,8,4,"Great course, learned a lot!"
198,6,7,7,7,3,5,4,3,"Great course, learned a lot!"
14,5,5,8,9,7,5,2,1,Sometimes explanations are confusing.
172,6,5,8,3,4,3,10,3,Very supportive teacher.
359,5,6,7,6,9,5,1,5,Very supportive teacher.
714,10,5,5,5,7,5,7,9,Assignments are too hard.
785,7,6,7,1,7,5,5,9,Course structure could be better.
865,8,4,6,2,7,5,2,7,Not very helpful.
662,10,6,4,5,1,9,6,3,Best subject ever!
513,9,10,7,7,9,2,10,1,I would recommend this course.
722,7,10,5,5,4,9,6,7,Very supportive teacher.
8,6,7,6,10,6,9,9,10,I would recommend this course.
873,10,10,4,5,9,10,2,5,Sometimes explanations are confusing.
684,10,3,7,4,4,5,1,10,I would recommend this course.
73,7,2,5,6,3,1,1,4,Best subject ever!
900,9,8,5,8,4,6,9,7,Loved the presentations.
933,6,9,4,8,7,10,3,5,Best subject ever!
634,6,7,6,6,1,6,3,8,I would recommend this course.
835,8,2,7,8,3,4,3,4,Best subject ever!
422,9,8,4,4,8,3,4,10,The teacher explains well.
235,6,2,8,8,6,3,3,1,Sometimes explanations are confusing.
286,10,3,7,10,8,8,4,9,Not very helpful.
129,7,3,4,9,1,4,4,9,Loved the presentations.
443,7,9,8,2,4,5,1,5,Very supportive teacher.
301,10,7,7,4,3,4,9,2,"Great course, learned a lot!"
532,10,2,4,2,2,6,10,9,Not very helpful.
64,6,2,8,1,8,4,8,4,"Great course, learned a lot!"
860,10,8,4,3,7,1,4,5,Sometimes explanations are confusing.
559,8,4,4,6,5,5,1,7,Loved the presentations.
311,7,5,6,8,4,9,8,9,Assignments are too hard.
32,9,3,7,7,6,1,9,2,Very supportive teacher.
296,10,7,4,2,2,10,10,8,The teacher explains well.
419,10,2,5,8,5,3,3,10,Assignments are too hard.
83,10,6,6,1,8,1,3,9,Sometimes explanations are confusing.
594,7,2,7,6,7,2,3,6,Not very helpful.
501,5,2,8,4,7,6,10,4,The teacher explains well.
411,8,4,4,4,8,4,3,1,Best subject ever!
824,10,7,7,9,4,9,9,8,I would recommend this course.
585,7,6,8,2,4,7,10,9,The teacher explains well.
848,9,9,6,1,9,2,8,6,Sometimes explanations are confusing.
299,10,8,5,5,4,3,1,9,Course structure could be better.
107,9,4,8,6,10,4,5,9,I would recommend this course.
119,9,10,5,1,9,6,7,6,"Great course, learned a lot!"
335,5,3,4,2,8,4,7,6,Very supportive teacher.
557,5,5,8,2,4,10,6,1,"Great course, learned a lot!"
113,5,6,7,1,10,6,4,7,The teacher explains well.
281,5,6,6,3,4,1,1,1,"Great course, learned a lot!"
836,9,3,4,6,6,3,2,7,Sometimes explanations are confusing.
426,9,8,7,8,10,6,9,8,Best subject ever!
42,8,2,4,6,6,7,3,1,Not very helpful.
567,9,3,8,1,4,9,10,9,Very supportive teacher.
589,5,8,7,5,6,7,8,9,"Great course, learned a lot!"
187,5,5,6,2,6,1,8,5,"Great course, learned a lot!"
615,5,6,7,9,1,1,1,5,The teacher explains well.
556,9,9,5,5,1,3,6,10,Not very helpful.
3,9,6,5,9,10,5,5,4,Assignments are too hard.
667,9,9,6,2,1,3,10,2,"Great course, learned a lot!"
234,7,2,4,5,1,8,7,2,Sometimes explanations are confusing.
96,6,6,5,10,8,10,5,2,Course structure could be better.
691,7,7,8,8,5,4,8,2,Very supportive teacher.
269,9,10,6,10,10,1,9,10,"Great course, learned a lot!"
566,8,10,6,10,7,6,6,1,Sometimes explanations are confusing.
985,5,5,4,8,7,6,7,3,Sometimes explanations are confusing.
437,7,2,6,7,5,8,1,8,Very supportive teacher.
200,8,4,8,6,8,4,7,1,Assignments are too hard.
291,10,3,7,8,2,10,3,3,Sometimes explanations are confusing.
612,8,9,8,7,1,2,8,4,Course structure could be better.
448,6,7,7,9,2,9,2,5,Sometimes explanations are confusing.
439,6,8,7,7,7,4,5,4,Sometimes explanations are confusing.
573,5,5,5,8,8,9,8,2,Sometimes explanations are confusing.
7,5,8,5,6,2,10,4,8,Best subject ever!
725,5,10,8,4,3,5,1,6,Best subject ever!
50,9,8,6,7,1,6,7,4,Assignments are too hard.
423,7,9,5,10,10,7,7,3,"Great course, learned a lot!"
140,7,10,6,8,6,10,9,6,Sometimes explanations are confusing.
135,8,9,7,3,6,10,2,9,Not very helpful.
786,5,4,7,5,5,6,7,1,"Great course, learned a lot!"
601,8,9,4,5,4,3,1,10,Assignments are too hard.
493,9,4,4,9,4,3,6,7,Loved the presentations.
553,7,2,4,7,3,5,1,3,"Great course, learned a lot!"
27,7,3,5,5,5,1,8,6,"Great course, learned a lot!"
257,8,5,6,4,4,1,5,4,I would recommend this course.
225,10,4,5,9,3,6,9,4,The teacher explains well.
788,6,5,6,3,10,4,3,8,I would recommend this course.
37,8,9,5,3,4,3,5,2,Course structure could be better.
170,5,10,7,2,8,5,9,5,Best subject ever!
528,9,2,5,2,6,5,1,6,Best subject ever!
600,7,8,6,10,6,7,7,6,The teacher explains well.
655,7,8,5,4,1,6,6,8,Very supportive teacher.
74,8,8,6,1,2,5,2,6,Very supportive teacher.
505,9,6,8,5,8,4,7,6,Assignments are too hard.
377,5,5,7,3,9,6,1,4,The teacher explains well.
808,8,6,4,5,1,8,8,3,"Great course, learned a lot!"
366,9,9,8,2,1,10,5,2,Very supportive teacher.
238,8,7,5,10,10,9,7,10,Sometimes explanations are confusing.
255,9,10,7,10,3,2,7,8,Not very helpful.
123,10,2,4,5,9,8,3,5,"Great course, learned a lot!"
663,6,2,8,2,5,7,5,7,Course structure could be better.
876,6,7,4,4,9,2,5,9,Sometimes explanations are confusing.
690,5,10,8,4,2,7,9,6,Sometimes explanations are confusing.
309,5,8,4,9,2,1,4,5,The teacher explains well.
693,7,9,8,1,5,10,3,7,Assignments are too hard.
226,7,6,8,8,8,5,8,8,Course structure could be better.
951,10,10,7,10,5,9,7,1,Very supportive teacher.
260,9,3,7,4,7,2,8,3,The teacher explains well.
243,9,8,8,8,4,10,8,9,Very supportive teacher.
222,5,4,4,2,7,9,5,3,The teacher explains well.
314,5,10,6,8,6,6,10,4,The teacher explains well.
229,7,6,8,2,2,10,8,8,The teacher explains well.
85,5,6,8,9,3,4,4,4,Assignments are too hard.
76,8,9,8,6,3,10,7,2,The teacher explains well.
887,6,9,5,8,9,7,6,2,Loved the presentations.
582,8,4,7,8,1,5,9,3,Not very helpful.
674,8,5,6,8,7,10,2,7,Very supportive teacher.
986,7,2,6,2,4,7,10,7,"Great course, learned a lot!"
511,8,4,4,5,2,10,10,6,I would recommend this course.
879,6,10,5,10,9,5,5,4,Course structure could be better.
401,8,10,7,2,8,10,8,9,Best subject ever!
514,6,6,7,10,7,7,6,3,Assignments are too hard.
750,10,3,8,1,5,1,3,5,"Great course, learned a lot!"
156,7,4,7,9,10,8,5,8,Sometimes explanations are confusing.
775,5,6,7,2,5,4,1,4,Loved the presentations.
329,9,8,8,5,3,3,10,8,Best subject ever!
467,8,10,5,7,7,1,3,6,I would recommend this course.
178,7,7,4,7,1,2,1,2,"Great course, learned a lot!"
549,5,3,7,6,8,8,5,5,Best subject ever!
453,8,4,4,4,2,8,1,4,"Great course, learned a lot!"
307,6,9,5,1,6,5,3,5,Loved the presentations.
472,6,8,7,7,9,9,2,3,I would recommend this course.
392,7,7,4,9,7,10,8,4,Sometimes explanations are confusing.
65,6,4,4,6,3,10,8,3,The teacher explains well.
575,9,4,7,7,1,1,5,1,Very supportive teacher.
855,8,3,6,4,1,1,9,7,Sometimes explanations are confusing.
791,5,9,4,4,1,4,10,9,The teacher explains well.
391,5,3,7,6,7,6,9,4,Assignments are too hard.
973,6,3,4,6,4,6,6,9,Not very helpful.
828,8,3,5,2,9,5,6,3,Course structure could be better.
247,6,9,6,5,2,2,3,7,Course structure could be better.
412,9,2,5,8,7,2,10,4,Very supportive teacher.
67,7,9,4,3,9,1,1,2,I would recommend this course.
289,5,2,5,8,9,2,7,2,Loved the presentations.
399,10,6,4,8,6,5,10,4,I would recommend this course.
138,8,5,8,8,10,4,2,6,Loved the presentations.
537,10,6,4,9,9,5,7,5,I would recommend this course.
265,5,9,7,6,5,6,5,3,Not very helpful.
724,5,2,6,1,7,3,3,1,Assignments are too hard.
653,5,6,5,6,6,3,9,2,Assignments are too hard.
318,6,8,5,10,6,7,10,8,The teacher explains well.
232,6,8,5,5,1,1,7,8,Best subject ever!
21,9,7,5,3,6,6,1,6,Assignments are too hard.
998,9,7,5,1,2,2,1,10,Assignments are too hard.
694,9,8,8,10,7,7,7,2,Sometimes explanations are confusing.
927,6,2,6,2,10,3,6,4,Sometimes explanations are confusing.
348,7,9,5,6,5,5,8,6,The teacher explains well.
968,6,7,6,3,8,1,9,3,Best subject ever!
992,10,6,4,3,8,6,10,3,Very supportive teacher.
764,9,3,7,6,3,8,10,2,Sometimes explanations are confusing.
587,5,4,8,2,2,2,4,10,Very supportive teacher.
944,10,8,6,8,8,7,9,6,"Great course, learned a lot!"
239,5,10,4,3,2,7,4,4,Sometimes explanations are confusing.
886,7,7,5,5,10,1,9,9,Not very helpful.
23,9,7,4,2,1,2,9,3,Best subject ever!
458,6,2,4,6,6,10,4,1,The teacher explains well.
822,6,2,7,1,5,4,1,10,"Great course, learned a lot!"
413,7,10,4,2,3,1,10,1,Best subject ever!
563,7,4,8,8,7,3,3,10,Not very helpful.
331,8,8,7,5,10,4,7,5,Best subject ever!
434,7,7,7,6,1,8,9,6,Not very helpful.
456,10,4,8,6,5,1,10,1,Not very helpful.
430,9,6,4,9,8,6,4,3,Very supportive teacher.
896,6,8,7,5,4,4,5,5,I would recommend this course.
451,9,3,6,10,7,8,9,10,"Great course, learned a lot!"
477,5,2,5,6,10,6,10,8,Best subject ever!
9,7,5,4,5,1,3,5,6,Loved the presentations.
325,7,5,7,6,1,5,8,6,"Great course, learned a lot!"
812,9,5,4,4,2,4,2,6,I would recommend this course.
727,7,2,6,4,2,10,9,5,"Great course, learned a lot!"
928,6,7,6,9,4,8,5,8,Assignments are too hard.
134,9,9,7,4,7,10,8,3,Loved the presentations.
819,6,7,8,8,9,10,2,2,I would recommend this course.
230,7,2,8,2,6,1,9,2,Very supportive teacher.
520,9,3,5,6,7,10,10,3,Best subject ever!
326,7,10,8,8,6,4,9,7,Course structure could be better.
142,6,8,4,10,8,5,8,6,I would recommend this course.
491,5,4,8,6,1,3,4,4,The teacher explains well.
379,7,5,6,2,9,7,3,10,Best subject ever!
465,5,2,8,8,6,8,2,4,I would recommend this course.
756,6,7,7,3,2,6,9,7,Assignments are too hard.
347,6,8,7,3,5,1,2,8,Course structure could be better.
237,10,4,5,8,7,8,2,8,Assignments are too hard.
642,5,7,6,8,9,6,6,7,Course structure could be better.
506,9,7,4,1,5,7,5,1,The teacher explains well.
646,7,8,5,4,7,8,8,8,Best subject ever!
382,10,10,7,5,2,3,6,3,Very supportive teacher.
256,6,7,4,5,9,8,6,5,Assignments are too hard.
327,8,8,5,10,2,1,10,5,Assignments are too hard.
624,7,3,7,10,2,1,8,8,Not very helpful.
155,8,8,8,10,3,9,7,3,Course structure could be better.
578,8,10,7,4,5,8,7,6,Sometimes explanations are confusing.
640,10,9,4,10,2,4,3,1,Best subject ever!
997,9,8,8,6,8,3,3,10,Course structure could be better.
242,7,9,5,4,5,9,1,4,Not very helpful.
344,7,6,8,9,8,3,8,5,"Great course, learned a lot!"
699,9,5,4,8,4,2,2,8,Course structure could be better.
77,9,4,5,9,2,1,5,10,Very supportive teacher.
821,8,9,5,5,8,9,4,9,Best subject ever!
903,9,8,8,8,4,8,4,1,Not very helpful.
540,9,10,7,3,2,4,4,5,"Great course, learned a lot!"
596,5,8,7,7,1,2,10,3,Loved the presentations.
169,8,2,6,3,3,6,9,3,Not very helpful.
526,9,5,5,5,2,6,4,9,Loved the presentations.
361,7,2,6,4,5,7,8,3,Best subject ever!
917,8,6,5,3,7,5,4,8,Assignments are too hard.
342,5,9,8,1,9,8,7,10,Not very helpful.
599,5,2,4,8,4,8,9,5,The teacher explains well.
875,5,4,7,3,5,6,4,5,Loved the presentations.
745,5,9,5,10,8,2,9,1,Very supportive teacher.
131,9,4,8,2,7,5,2,10,The teacher explains well.
143,6,6,7,8,10,3,3,9,I would recommend this course.
666,10,5,6,8,1,2,7,7,I would recommend this course.
104,8,5,4,2,7,9,4,4,"Great course, learned a lot!"
964,8,5,5,3,10,5,5,3,Assignments are too hard.
208,8,7,5,7,2,3,2,8,Best subject ever!
774,7,10,5,4,6,10,9,6,Not very helpful.
346,10,7,4,9,3,2,10,8,Sometimes explanations are confusing.
97,7,8,7,9,6,3,10,7,Very supportive teacher.
306,9,10,4,1,3,3,2,5,Loved the presentations.
18,9,6,6,1,5,8,4,10,Best subject ever!
284,5,7,6,3,10,3,8,6,The teacher explains well.
173,5,7,5,10,10,10,3,10,I would recommend this course.
558,7,9,5,5,9,7,3,5,Very supportive teacher.
51,7,2,6,2,8,2,10,2,Sometimes explanations are confusing.
357,5,8,7,5,4,1,8,8,Not very helpful.
692,8,8,6,9,5,8,7,10,"Great course, learned a lot!"
26,8,2,6,10,9,9,4,5,Sometimes explanations are confusing.
386,9,5,5,4,6,5,7,7,Very supportive teacher.
287,5,9,5,5,10,8,4,10,Sometimes explanations are confusing.
974,8,10,4,2,4,9,8,7,Very supportive teacher.
683,6,9,4,8,5,5,1,10,Very supportive teacher.
374,6,9,4,6,2,6,7,8,Course structure could be better.
278,10,8,7,8,6,7,8,1,Loved the presentations.
367,10,4,8,3,3,9,5,7,I would recommend this course.
800,7,4,5,2,1,6,3,9,Course structure could be better.
11,9,5,6,8,5,6,7,7,Not very helpful.
310,5,8,5,9,4,4,9,10,Course structure could be better.
910,5,8,7,10,8,2,4,8,Assignments are too hard.
440,5,7,8,9,7,1,8,10,Assignments are too hard.
441,7,8,5,3,1,8,6,8,I would recommend this course.
146,8,7,5,6,9,2,9,10,Sometimes explanations are confusing.
614,8,2,6,7,8,6,6,5,Loved the presentations.
262,10,5,4,9,6,9,9,3,I would recommend this course.
34,9,7,8,9,8,2,8,9,Very supportive teacher.
407,9,8,8,6,2,9,6,4,The teacher explains well.
564,5,10,5,6,8,5,3,1,Loved the presentations.
538,8,7,4,6,10,5,2,9,Loved the presentations.
748,5,8,6,1,10,2,4,9,Very supportive teacher.
675,8,7,8,9,8,6,2,8,Very supportive teacher.
224,10,7,7,6,2,1,7,9,"Great course, learned a lot!"
10,8,3,7,4,3,6,4,1,I would recommend this course.
708,5,3,5,4,5,9,6,4,Very supportive teacher.
636,7,3,6,9,5,4,6,3,Assignments are too hard.
218,7,8,4,4,1,4,6,4,Not very helpful.
193,5,9,4,6,5,7,1,9,The teacher explains well.
106,6,6,5,8,3,1,9,7,I would recommend this course.
834,8,2,7,4,1,8,9,2,Best subject ever!
597,5,4,8,4,8,7,3,4,Assignments are too hard.
45,8,5,6,1,5,9,2,9,Sometimes explanations are confusing.
264,5,2,4,4,7,6,4,1,Very supportive teacher.
219,10,4,5,7,9,10,8,3,Best subject ever!
249,10,2,5,6,8,1,8,9,Very supportive teacher.
507,9,2,6,2,7,9,7,9,Loved the presentations.
383,10,10,8,10,4,9,3,10,Assignments are too hard.
631,10,8,5,3,9,9,8,3,Loved the presentations.
502,6,3,5,1,8,4,7,8,"Great course, learned a lot!"
792,10,2,6,7,7,5,6,9,Loved the presentations.
271,8,10,6,5,7,10,10,2,"Great course, learned a lot!"
194,6,3,5,4,1,10,8,3,"Great course, learned a lot!"
937,8,8,4,10,1,5,9,3,Best subject ever!
726,6,4,4,7,7,3,6,4,Very supportive teacher.
339,6,10,5,9,4,3,6,5,Sometimes explanations are confusing.
841,8,9,8,3,4,4,7,1,Loved the presentations.
874,9,7,6,9,6,1,6,3,Assignments are too hard.
214,6,6,4,3,1,3,4,6,"Great course, learned a lot!"
924,9,10,5,5,6,4,1,8,Very supportive teacher.
203,8,7,8,9,4,10,8,10,The teacher explains well.
629,8,3,7,4,4,8,1,10,I would recommend this course.
354,6,3,7,10,1,1,10,6,Best subject ever!
857,9,8,6,5,7,8,1,9,Sometimes explanations are confusing.
424,5,3,7,3,8,6,5,7,Course structure could be better.
872,6,10,8,8,2,2,1,4,Best subject ever!
116,8,5,6,3,5,3,1,9,The teacher explains well.
308,9,10,7,10,3,2,10,9,I would recommend this course.
698,5,9,6,3,6,9,9,9,The teacher explains well.
622,9,10,7,7,6,2,8,4,Loved the presentations.
103,9,6,4,6,1,3,10,6,"Great course, learned a lot!"
464,5,4,8,6,4,10,1,6,Sometimes explanations are confusing.
870,10,4,6,3,8,2,3,7,Not very helpful.
351,8,5,8,10,1,9,7,7,"Great course, learned a lot!"
628,10,10,4,7,1,7,3,9,Not very helpful.
33,8,5,6,1,8,7,7,2,I would recommend this course.
972,7,9,4,1,1,2,1,10,Very supportive teacher.
535,5,10,5,9,9,8,1,9,Course structure could be better.
959,8,4,5,5,10,7,3,2,Assignments are too hard.
794,10,4,4,8,6,8,6,9,"Great course, learned a lot!"
313,5,7,7,3,7,10,1,1,Sometimes explanations are confusing.
127,5,8,4,9,7,7,7,6,The teacher explains well.
245,10,6,4,9,9,2,7,7,Sometimes explanations are confusing.
773,9,5,8,9,1,10,4,8,I would recommend this course.
69,8,6,6,1,9,1,9,7,Not very helpful.
141,8,6,6,5,4,9,5,2,The teacher explains well.
139,8,3,4,10,6,1,1,5,Assignments are too hard.
398,6,9,6,10,7,4,5,9,Assignments are too hard.
889,7,6,8,6,6,6,7,10,"Great course, learned a lot!"
995,6,7,8,3,7,7,8,7,I would recommend this course.
757,9,5,7,9,7,8,9,1,Very supportive teacher.
783,5,2,8,2,8,5,7,3,I would recommend this course.
420,5,8,8,6,2,4,10,3,Not very helpful.
790,7,5,6,2,3,1,6,6,Sometimes explanations are confusing.
592,7,2,7,10,8,9,5,1,Assignments are too hard.
978,6,5,8,9,6,6,2,9,Sometimes explanations are confusing.
735,6,4,6,1,7,6,1,5,Sometimes explanations are confusing.
731,5,10,6,9,5,10,5,2,Sometimes explanations are confusing.
932,6,6,4,5,5,3,6,1,Assignments are too hard.
497,6,4,8,4,6,10,1,6,Best subject ever!
813,8,10,5,8,4,7,5,2,Loved the presentations.
2,10,2,7,3,10,4,4,7,Not very helpful.
649,9,2,6,10,4,9,4,2,Best subject ever!
455,8,5,4,2,7,4,1,2,Not very helpful.
593,5,3,5,3,9,10,9,9,The teacher explains well.
206,10,8,5,4,8,9,10,6,I would recommend this course.
847,7,10,5,7,1,9,10,4,I would recommend this course.
233,8,7,7,7,9,2,8,2,Course structure could be better.
87,5,10,8,4,8,10,1,9,I would recommend this course.
333,6,3,7,6,9,9,9,1,Assignments are too hard.
738,8,2,5,7,2,7,6,5,Very supportive teacher.
350,5,6,6,1,8,7,10,10,"Great course, learned a lot!"
805,8,8,7,10,6,2,2,6,Course structure could be better.
700,9,8,6,1,9,6,9,1,"Great course, learned a lot!"
92,7,6,7,3,2,1,7,6,Not very helpful.
68,5,5,8,8,7,6,10,4,"Great course, learned a lot!"
746,10,5,6,7,1,1,6,1,"Great course, learned a lot!"
741,7,9,7,3,10,8,10,5,Course structure could be better.
581,9,10,8,2,5,6,7,10,The teacher explains well.
677,9,6,6,9,1,10,7,1,Sometimes explanations are confusing.
442,7,8,5,10,8,3,6,4,I would recommend this course.
749,9,9,5,2,9,1,10,1,I would recommend this course.
25,5,6,4,10,4,1,8,3,Assignments are too hard.
936,6,7,6,4,1,8,4,10,Course structure could be better.
90,9,10,6,7,8,1,2,7,Assignments are too hard.
715,6,9,6,5,9,1,6,6,Very supportive teacher.
240,9,9,7,10,5,7,1,6,Very supportive teacher.
13,6,6,6,3,10,7,2,1,Assignments are too hard.
126,7,4,6,4,1,5,2,1,Course structure could be better.
761,5,9,6,10,10,1,10,6,Assignments are too hard.
302,8,4,6,7,1,4,1,8,I would recommend this course.
650,8,4,7,9,10,2,8,3,Best subject ever!
365,10,5,5,3,5,2,3,5,Loved the presentations.
905,5,9,6,8,10,2,1,1,"Great course, learned a lot!"
415,9,3,5,1,8,9,9,2,Loved the presentations.
397,10,7,8,6,6,6,2,6,Course structure could be better.
435,9,9,7,4,1,1,7,5,Loved the presentations.
945,9,3,8,2,4,9,1,1,Very supportive teacher.
930,8,7,5,1,3,7,2,1,Not very helpful.
687,5,9,7,9,3,1,9,5,"Great course, learned a lot!"
852,5,10,5,4,3,10,8,6,Sometimes explanations are confusing.
712,6,5,5,7,8,2,9,7,Course structure could be better.
470,6,10,6,6,7,1,1,2,"Great course, learned a lot!"
43,6,5,4,1,10,7,4,1,Loved the presentations.
550,5,3,7,8,2,7,7,8,Very supportive teacher.
844,8,6,4,1,1,8,10,9,The teacher explains well.
150,6,5,8,5,2,10,1,6,Best subject ever!
168,6,3,8,2,8,10,7,3,Sometimes explanations are confusing.
519,8,7,7,6,10,10,4,3,Best subject ever!
531,9,8,7,6,3,8,3,7,"Great course, learned a lot!"
643,9,7,7,7,2,4,3,7,Very supportive teacher.
428,6,9,4,4,8,6,2,5,Very supportive teacher.
659,9,4,8,10,6,6,3,8,Loved the presentations.
766,10,2,4,3,4,6,9,4,I would recommend this course.
732,9,2,6,9,4,2,10,10,Loved the presentations.
916,10,4,7,3,10,10,7,8,I would recommend this course.
979,9,4,7,10,5,2,4,2,I would recommend this course.
372,5,7,7,9,3,5,10,4,Sometimes explanations are confusing.
778,9,4,8,9,8,5,7,4,Loved the presentations.
579,10,3,7,8,9,1,8,8,The teacher explains well.
320,9,6,7,4,3,9,10,2,Assignments are too hard.
645,5,9,6,6,8,5,10,8,Assignments are too hard.
5,6,7,4,2,3,8,10,7,Loved the presentations.
294,7,5,4,1,6,2,9,6,Loved the presentations.
117,8,2,5,10,5,4,3,2,Best subject ever!
555,9,2,8,7,2,1,3,10,Sometimes explanations are confusing.
